Order_ID,Date,Region,Category,Product,Sales,Quantity,Cost
1001,2025-01-05,East,Electronics,Laptop,65000,2,50000
1002,2025-01-08,West,Furniture,Chair,8000,4,5000
1003,2025-01-12,North,Electronics,Mobile,30000,5,22000
1004,2025-01-15,South,Office Supplies,Notebook,2500,20,1200
1005,2025-02-02,East,Furniture,Table,15000,2,10000
1006,2025-02-08,West,Electronics,Headphones,5000,8,3000
1007,2025-02-15,North,Office Supplies,Printer Paper,4500,15,2500
1008,2025-02-20,South,Electronics,Monitor,18000,3,13000
1009,2025-03-01,East,Electronics,Keyboard,3500,10,1800
1010,2025-03-05,West,Furniture,Sofa,40000,1,30000
1011,2025-03-12,North,Office Supplies,Pen Set,1500,30,700
1012,2025-03-18,South,Electronics,Tablet,25000,2,18000
1013,2025-04-04,East,Furniture,Cupboard,28000,1,21000
1014,2025-04-11,West,Electronics,Smart Watch,12000,4,8000
1015,2025-04-18,North,Office Supplies,Whiteboard,6000,2,4000
1016,2025-04-25,South,Furniture,Desk,17000,2,12000
1017,2025-05-03,East,Electronics,Mouse,2000,12,1000
1018,2025-05-10,West,Office Supplies,File Folder,3000,25,1500
1019,2025-05-18,North,Furniture,Bookshelf,22000,2,16000
1020,2025-05-25,South,Electronics,Speaker,7000,5,4500
